bulan,periode,stok,cuaca,penjualan
April,1899,251,Hujan,145
November,1900,174,Mendung,77
Oktober,1901,109,Cerah,167
Maret,1902,293,Mendung,205
April,1903,188,Mendung,92
Oktober,1904,283,Cerah,213
Oktober,1905,275,Hujan,192
Juni,1906,341,Hujan,201
November,1907,334,Hujan,77
November,1908,135,Cerah,204
Oktober,1909,254,Mendung,97
Juli,1910,192,Hujan,105
Oktober,1911,225,Hujan,142
Juli,1912,155,Cerah,155
Februari,1913,300,Mendung,204
Juli,1914,142,Mendung,214
Oktober,1915,138,Hujan,100
Februari,1916,126,Hujan,112
Maret,1917,111,Hujan,184
Agustus,1918,259,Hujan,217
November,1919,231,Cerah,145
Januari,1920,236,Mendung,216
Desember,1921,289,Hujan,122
Mei,1922,171,Mendung,71
Desember,1923,247,Hujan,214
Maret,1924,212,Mendung,155
Agustus,1925,246,Cerah,209
Maret,1926,301,Hujan,70
Maret,1927,173,Cerah,207
Agustus,1928,162,Mendung,179
Desember,1929,181,Cerah,175
Agustus,1930,141,Hujan,201
Juni,1931,258,Mendung,149
Mei,1932,314,Cerah,116
Maret,1933,142,Mendung,181
Juli,1934,326,Mendung,183
Februari,1935,109,Mendung,164
Mei,1936,178,Hujan,70
Desember,1937,157,Hujan,219
Juli,1938,117,Hujan,218
Januari,1939,187,Mendung,107
Desember,1940,344,Hujan,208
April,1941,121,Hujan,192
Agustus,1942,315,Hujan,92
Oktober,1943,319,Mendung,196
Juni,1944,235,Hujan,141
Mei,1945,247,Cerah,187
Januari,1946,247,Hujan,163
Februari,1947,270,Cerah,99
Juli,1948,109,Hujan,107
Januari,1949,213,Cerah,152
Januari,1950,114,Mendung,178
Mei,1951,302,Hujan,186
September,1952,189,Mendung,105
Desember,1953,282,Mendung,189
Juni,1954,338,Cerah,107
Desember,1955,214,Hujan,86
Januari,1956,263,Mendung,150
Agustus,1957,281,Hujan,118
Agustus,1958,339,Mendung,112
Maret,1959,326,Mendung,142
April,1960,277,Cerah,203
Agustus,1961,125,Hujan,173
Oktober,1962,339,Cerah,99
Agustus,1963,144,Mendung,209
Februari,1964,169,Cerah,90
September,1965,279,Hujan,125
Desember,1966,207,Cerah,197
Maret,1967,176,Hujan,199
April,1968,155,Mendung,111
Juli,1969,306,Cerah,89
Juni,1970,302,Hujan,209
November,1971,259,Mendung,171
Juni,1972,162,Mendung,126
Desember,1973,232,Hujan,195
Juli,1974,171,Mendung,145
Agustus,1975,346,Mendung,184
Agustus,1976,102,Hujan,94
Desember,1977,240,Mendung,218
Oktober,1978,271,Cerah,136
November,1979,195,Hujan,88
Agustus,1980,103,Cerah,166
Juli,1981,206,Hujan,218
April,1982,190,Mendung,188
September,1983,220,Cerah,126
November,1984,337,Hujan,171
Maret,1985,290,Hujan,196
Maret,1986,333,Mendung,134
Februari,1987,285,Hujan,106
April,1988,157,Cerah,75
November,1989,199,Hujan,134
Desember,1990,348,Cerah,140
Juni,1991,176,Mendung,92
September,1992,142,Mendung,117
Agustus,1993,348,Mendung,138
Maret,1994,329,Cerah,81
Januari,1995,156,Hujan,178
Agustus,1996,283,Cerah,167
November,1997,118,Mendung,117
Februari,1998,288,Cerah,180
Januari,1999,262,Cerah,73
Januari,2000,231,Cerah,85
Agustus,2001,309,Mendung,126
Oktober,2002,339,Cerah,92
Desember,2003,260,Cerah,144
November,2004,296,Mendung,133
Januari,2005,236,Hujan,135
April,2006,124,Mendung,142
Oktober,2007,253,Mendung,183
Agustus,2008,168,Hujan,144
Oktober,2009,174,Mendung,132
November,2010,140,Hujan,188
Januari,2011,167,Mendung,195
Maret,2012,296,Cerah,117
April,2013,204,Hujan,139
April,2014,175,Hujan,95
Agustus,2015,161,Hujan,158
Desember,2016,199,Cerah,120
April,2017,265,Mendung,218
Januari,2018,249,Hujan,203
Februari,2019,292,Hujan,143
Agustus,2020,288,Cerah,74
Februari,2021,259,Mendung,127
Juli,2022,348,Mendung,144
Januari,2023,103,Hujan,132
Oktober,2024,135,Mendung,190
Juni,2025,339,Mendung,140
Februari,2026,184,Mendung,111
Agustus,2027,295,Hujan,130
Oktober,2028,345,Mendung,148
November,2029,239,Hujan,211
September,2030,200,Cerah,123
Januari,2031,193,Cerah,107
Oktober,2032,110,Mendung,198
November,2033,206,Mendung,195
April,2034,104,Mendung,133
Oktober,2035,183,Hujan,187
Oktober,2036,124,Hujan,215
Juli,2037,213,Cerah,90
September,2038,154,Cerah,179
Juni,2039,185,Hujan,144
Oktober,2040,279,Cerah,134
Mei,2041,121,Mendung,157
Juli,2042,253,Hujan,172
Februari,2043,199,Hujan,218
Januari,2044,254,Mendung,198
Mei,2045,162,Hujan,161
September,2046,273,Cerah,145
Juni,2047,119,Hujan,179
Desember,2048,210,Cerah,118
November,2049,259,Cerah,193
November,2050,207,Mendung,161
Desember,2051,131,Cerah,148
September,2052,139,Cerah,193
November,2053,189,Cerah,97
Juli,2054,349,Mendung,161
Maret,2055,124,Mendung,155
Juni,2056,227,Mendung,103
Oktober,2057,292,Mendung,101
November,2058,278,Cerah,83
Agustus,2059,294,Cerah,144
April,2060,211,Hujan,92
Februari,2061,197,Cerah,74
Februari,2062,189,Mendung,179
Februari,2063,308,Mendung,180
Agustus,2064,339,Mendung,200
Agustus,2065,126,Mendung,113
November,2066,323,Mendung,108
Agustus,2067,256,Mendung,118
Februari,2068,267,Cerah,103
September,2069,349,Hujan,85
Januari,2070,133,Cerah,153
Desember,2071,146,Mendung,133
Juli,2072,221,Cerah,209
Oktober,2073,128,Cerah,99
Juli,2074,219,Cerah,150
November,2075,104,Mendung,112
Februari,2076,269,Cerah,133
November,2077,296,Cerah,212
Juli,2078,194,Cerah,135
September,2079,191,Cerah,95
Agustus,2080,300,Hujan,111
Januari,2081,340,Mendung,93
April,2082,104,Cerah,113
Mei,2083,156,Hujan,156
Mei,2084,132,Mendung,127
Oktober,2085,160,Cerah,85
Oktober,2086,289,Hujan,170
November,2087,247,Hujan,103
Januari,2088,206,Mendung,160
Agustus,2089,129,Hujan,108
September,2090,295,Mendung,167
Maret,2091,273,Mendung,76
Mei,2092,197,Cerah,186
September,2093,138,Hujan,214
Desember,2094,228,Cerah,164
Februari,2095,296,Cerah,107
Juni,2096,151,Mendung,92
November,2097,122,Cerah,186
Maret,2098,299,Hujan,154
Februari,2099,347,Cerah,84
Juni,2100,118,Cerah,108
Mei,2101,219,Mendung,129
November,2102,341,Cerah,82
April,2103,267,Cerah,96
Februari,2104,162,Hujan,157
November,2105,222,Hujan,214
Juli,2106,269,Cerah,91
November,2107,198,Cerah,130
Februari,2108,220,Hujan,183
Oktober,2109,297,Cerah,155
Juli,2110,190,Mendung,76
Juni,2111,116,Cerah,114
November,2112,153,Cerah,133
Juli,2113,229,Hujan,184
November,2114,293,Cerah,133
Juli,2115,182,Mendung,76
Agustus,2116,147,Hujan,132
Agustus,2117,274,Hujan,157
Juni,2118,235,Cerah,79
Juli,2119,269,Cerah,141
November,2120,322,Hujan,121
November,2121,169,Cerah,92
Oktober,2122,262,Cerah,193
November,2123,114,Hujan,114
April,2124,203,Cerah,122
Desember,2125,262,Mendung,102
April,2126,260,Hujan,79
Januari,2127,308,Mendung,156
November,2128,181,Cerah,215
September,2129,332,Mendung,105
Juli,2130,291,Hujan,161
Januari,2131,329,Hujan,127
Maret,2132,173,Hujan,77
April,2133,194,Mendung,163
Februari,2134,241,Mendung,84
September,2135,280,Hujan,182
Agustus,2136,313,Hujan,198
Juli,2137,181,Cerah,195
Oktober,2138,334,Hujan,167
Mei,2139,111,Hujan,117
Juni,2140,223,Cerah,102
Februari,2141,140,Hujan,123
November,2142,235,Hujan,133
September,2143,347,Cerah,115
November,2144,244,Cerah,161
November,2145,214,Cerah,130
Mei,2146,321,Mendung,104
Desember,2147,328,Mendung,119
Oktober,2148,319,Cerah,193
Mei,2149,216,Hujan,74
Januari,2150,188,Mendung,142
Juni,2151,163,Mendung,171
Januari,2152,231,Mendung,144
Juni,2153,345,Hujan,164
November,2154,241,Cerah,164
Juni,2155,271,Hujan,177
Januari,2156,345,Cerah,152
Oktober,2157,109,Mendung,214
Desember,2158,208,Hujan,117
Juni,2159,259,Mendung,104
April,2160,236,Cerah,83
Juli,2161,268,Mendung,113
Agustus,2162,309,Hujan,132
September,2163,197,Cerah,125
Desember,2164,183,Hujan,185
Februari,2165,162,Mendung,207
November,2166,189,Hujan,85
Oktober,2167,300,Mendung,211
Januari,2168,340,Cerah,215
Agustus,2169,261,Hujan,112
Maret,2170,183,Cerah,78
Mei,2171,161,Cerah,193
Juni,2172,130,Cerah,142
Desember,2173,339,Hujan,217
Oktober,2174,306,Cerah,182
Februari,2175,126,Cerah,126
Januari,2176,200,Hujan,142
Mei,2177,238,Cerah,171
Mei,2178,163,Mendung,200
Maret,2179,103,Mendung,77
Maret,2180,140,Cerah,153
Mei,2181,176,Mendung,134
Oktober,2182,156,Hujan,197
Desember,2183,323,Mendung,211
April,2184,253,Cerah,160
April,2185,186,Hujan,177
November,2186,245,Mendung,110
Mei,2187,116,Mendung,106
Mei,2188,151,Cerah,158
Maret,2189,158,Hujan,108
Oktober,2190,243,Mendung,137
November,2191,244,Cerah,96
Desember,2192,334,Mendung,121
April,2193,175,Mendung,113
Februari,2194,101,Cerah,167
Agustus,2195,168,Hujan,175
Juli,2196,191,Cerah,207
Juni,2197,340,Hujan,110
Desember,2198,193,Cerah,75
Mei,2199,282,Hujan,85
Agustus,2200,329,Hujan,202
Maret,2201,287,Cerah,106
Juli,2202,301,Cerah,85
Juni,2203,104,Cerah,126
Maret,2204,178,Cerah,217
Juni,2205,129,Mendung,79
Mei,2206,280,Cerah,96
Februari,2207,219,Mendung,114
April,2208,282,Cerah,152
Juli,2209,338,Mendung,120
Maret,2210,313,Cerah,123
Maret,2211,299,Cerah,70
Oktober,2212,284,Hujan,109
Juni,2213,278,Cerah,206
Mei,2214,127,Cerah,133
Maret,2215,313,Mendung,205
Februari,2216,173,Cerah,85
Oktober,2217,232,Mendung,102
Juni,2218,145,Cerah,213
Juni,2219,138,Hujan,175
Februari,2220,314,Hujan,87
September,2221,226,Hujan,198
Mei,2222,232,Mendung,174
Agustus,2223,159,Mendung,166
April,2224,234,Cerah,72
Januari,2225,241,Hujan,185
November,2226,151,Cerah,192
Agustus,2227,332,Mendung,147
Februari,2228,264,Cerah,135
Juli,2229,161,Hujan,169
Desember,2230,248,Hujan,122
September,2231,300,Mendung,79
April,2232,337,Hujan,92
Maret,2233,147,Hujan,187
Juni,2234,187,Hujan,138
Agustus,2235,200,Mendung,209
Maret,2236,203,Cerah,87
April,2237,318,Cerah,144
Juni,2238,131,Cerah,129
Maret,2239,172,Cerah,155
April,2240,229,Hujan,73
April,2241,167,Mendung,117
April,2242,159,Mendung,215
April,2243,136,Cerah,187
Juni,2244,207,Hujan,147
Juni,2245,194,Hujan,140
Agustus,2246,280,Hujan,88
April,2247,236,Cerah,149
Maret,2248,290,Mendung,72
Februari,2249,275,Mendung,168
Maret,2250,145,Cerah,211
Oktober,2251,142,Cerah,184
Juli,2252,138,Mendung,174
Oktober,2253,309,Cerah,113
Oktober,2254,180,Mendung,102
Juli,2255,291,Mendung,175
April,2256,343,Hujan,124
Juni,2257,283,Mendung,191
September,2258,190,Mendung,141
Juli,2259,165,Cerah,119
November,2260,254,Hujan,175
Juni,2261,348,Cerah,154
Juni,2262,279,Cerah,209
September,2263,165,Hujan,71
Januari,2264,184,Mendung,195
Januari,2265,334,Hujan,117
Februari,2266,344,Cerah,206
Juni,2267,242,Mendung,173
Juli,2268,261,Hujan,152
Februari,2269,120,Hujan,154
Juni,2270,245,Hujan,87
November,2271,176,Hujan,95
Juni,2272,261,Cerah,179
Mei,2273,132,Mendung,198
Juli,2274,242,Cerah,74
September,2275,167,Cerah,202
Juli,2276,158,Cerah,159
November,2277,131,Mendung,135
Mei,2278,215,Hujan,163
Mei,2279,173,Hujan,113
Desember,2280,134,Cerah,134
November,2281,225,Cerah,105
Januari,2282,185,Cerah,177
Desember,2283,203,Mendung,193
Mei,2284,138,Hujan,116
Desember,2285,124,Mendung,83
Oktober,2286,156,Hujan,75
Oktober,2287,159,Hujan,160
Agustus,2288,135,Hujan,201
Maret,2289,167,Hujan,77
April,2290,118,Mendung,194
Maret,2291,299,Mendung,147
Mei,2292,226,Hujan,104
November,2293,295,Mendung,109
Januari,2294,233,Hujan,130
Agustus,2295,184,Hujan,135
Agustus,2296,107,Cerah,100
Oktober,2297,222,Mendung,186
Juli,2298,228,Hujan,186
Juni,2299,327,Cerah,195
Februari,2300,309,Hujan,71
Februari,2301,225,Hujan,99
April,2302,259,Mendung,112
Juni,2303,150,Hujan,135
September,2304,246,Mendung,166
September,2305,336,Hujan,85
Februari,2306,102,Hujan,202
November,2307,332,Mendung,104
November,2308,143,Hujan,136
April,2309,119,Cerah,108
Oktober,2310,292,Cerah,173
April,2311,287,Cerah,152
Januari,2312,155,Mendung,199
April,2313,308,Cerah,206
April,2314,249,Hujan,106
Oktober,2315,221,Mendung,180
Desember,2316,180,Mendung,142
Juli,2317,206,Cerah,74
Januari,2318,256,Cerah,196
Mei,2319,123,Hujan,164
Juni,2320,295,Cerah,170
Agustus,2321,304,Mendung,155
November,2322,230,Mendung,143
Maret,2323,311,Hujan,167
Agustus,2324,159,Mendung,141
November,2325,203,Mendung,208
November,2326,143,Cerah,116
Juli,2327,233,Mendung,84
April,2328,251,Hujan,169
Januari,2329,253,Cerah,110
Desember,2330,178,Cerah,103
April,2331,308,Cerah,162
November,2332,204,Cerah,212
Oktober,2333,237,Hujan,166
September,2334,245,Hujan,90
Desember,2335,113,Cerah,188
Januari,2336,302,Cerah,147
Desember,2337,211,Mendung,164
Februari,2338,247,Cerah,219
Februari,2339,273,Cerah,217
Maret,2340,123,Cerah,74
Juni,2341,348,Cerah,88
Juli,2342,225,Cerah,119
Juli,2343,325,Hujan,136
Agustus,2344,312,Hujan,146
Desember,2345,348,Cerah,83
November,2346,215,Hujan,86
Maret,2347,138,Mendung,137
April,2348,261,Hujan,121
Desember,2349,227,Cerah,79
Agustus,2350,156,Cerah,77
April,2351,118,Hujan,76
Agustus,2352,339,Mendung,170
Maret,2353,280,Mendung,86
Mei,2354,348,Hujan,166
Agustus,2355,285,Hujan,204
Juli,2356,139,Cerah,143
April,2357,322,Mendung,168
Februari,2358,342,Cerah,155
Maret,2359,292,Cerah,157
Februari,2360,185,Cerah,142
Desember,2361,210,Mendung,197
Maret,2362,125,Hujan,152
September,2363,204,Cerah,135
Agustus,2364,301,Cerah,136
April,2365,294,Hujan,127
April,2366,186,Mendung,178
April,2367,345,Mendung,196
November,2368,277,Hujan,193
Juni,2369,243,Hujan,177
Juni,2370,268,Cerah,106
Januari,2371,237,Mendung,173
Maret,2372,266,Hujan,156
Agustus,2373,306,Mendung,134
Oktober,2374,185,Mendung,82
Desember,2375,228,Mendung,137
Agustus,2376,345,Cerah,200
Juli,2377,122,Hujan,107
Agustus,2378,305,Mendung,98
Februari,2379,229,Hujan,163
Januari,2380,220,Cerah,207
Desember,2381,239,Cerah,124
Juni,2382,345,Cerah,178
Februari,2383,345,Cerah,159
Mei,2384,300,Mendung,82
Juni,2385,172,Mendung,148
September,2386,132,Hujan,85
Oktober,2387,218,Hujan,141
Mei,2388,347,Mendung,112
November,2389,141,Cerah,217
Desember,2390,139,Mendung,131
Februari,2391,110,Cerah,97
April,2392,146,Hujan,76
Maret,2393,207,Hujan,204
Desember,2394,134,Mendung,76
Mei,2395,314,Cerah,198
Desember,2396,264,Mendung,125
Januari,2397,188,Cerah,93
Mei,2398,148,Hujan,98
Mei,2399,164,Cerah,121
Juli,2400,330,Mendung,125
Januari,2401,292,Hujan,141
September,2402,214,Hujan,123
Oktober,2403,106,Cerah,208
Desember,2404,255,Mendung,144
Agustus,2405,268,Cerah,153
November,2406,120,Mendung,96
Agustus,2407,179,Cerah,112
Agustus,2408,275,Hujan,186
Agustus,2409,323,Mendung,191
Februari,2410,285,Hujan,109
September,2411,173,Cerah,136
November,2412,182,Mendung,206
Februari,2413,255,Hujan,153
Desember,2414,222,Hujan,75
Agustus,2415,217,Mendung,195
Maret,2416,165,Cerah,186
Maret,2417,250,Hujan,201
Oktober,2418,164,Mendung,139
Januari,2419,107,Cerah,169
Desember,2420,334,Mendung,150
Oktober,2421,143,Cerah,162
Maret,2422,103,Cerah,186
Agustus,2423,123,Mendung,121
November,2424,285,Hujan,178
Mei,2425,295,Cerah,216
April,2426,298,Mendung,151
Agustus,2427,247,Cerah,132
September,2428,147,Mendung,173
Oktober,2429,203,Mendung,167
Februari,2430,255,Cerah,113
Juli,2431,182,Mendung,147
November,2432,172,Hujan,176
April,2433,333,Cerah,193
September,2434,137,Mendung,118
November,2435,239,Hujan,213
Maret,2436,128,Cerah,144
September,2437,313,Cerah,184
Mei,2438,217,Mendung,103
September,2439,166,Hujan,163
Januari,2440,239,Cerah,160
Januari,2441,307,Mendung,93
Februari,2442,155,Mendung,82
Februari,2443,207,Cerah,143
Januari,2444,130,Hujan,120
September,2445,244,Cerah,200
Desember,2446,315,Hujan,209
Februari,2447,346,Mendung,210
Maret,2448,145,Hujan,185
Januari,2449,252,Mendung,78
November,2450,258,Cerah,160
Oktober,2451,245,Cerah,193
Juni,2452,149,Cerah,205
Maret,2453,210,Hujan,192
April,2454,277,Hujan,164
November,2455,271,Hujan,159
Maret,2456,305,Hujan,169
Oktober,2457,112,Hujan,194
September,2458,339,Mendung,166
Oktober,2459,345,Hujan,142
Mei,2460,226,Mendung,103
Agustus,2461,113,Hujan,193
April,2462,242,Hujan,122
April,2463,228,Hujan,161
April,2464,284,Hujan,145
Mei,2465,205,Hujan,73
Juni,2466,309,Cerah,115
Mei,2467,310,Mendung,191
September,2468,187,Cerah,123
Agustus,2469,148,Mendung,180
Maret,2470,254,Cerah,151
Mei,2471,248,Mendung,186
Agustus,2472,158,Hujan,84
Desember,2473,245,Cerah,165
Juni,2474,200,Mendung,207
November,2475,155,Hujan,116
Juli,2476,278,Mendung,93
Juli,2477,253,Hujan,90
November,2478,260,Cerah,101
Juni,2479,218,Cerah,188
Desember,2480,271,Mendung,125
Februari,2481,238,Mendung,109
Oktober,2482,125,Hujan,92
November,2483,339,Cerah,124
April,2484,206,Hujan,160
Juli,2485,193,Hujan,80
September,2486,234,Mendung,114
Februari,2487,256,Hujan,151
September,2488,306,Hujan,103
Juni,2489,332,Cerah,174
November,2490,164,Cerah,94
Agustus,2491,185,Cerah,199
Maret,2492,126,Mendung,115
Mei,2493,308,Hujan,84
April,2494,289,Hujan,154
Desember,2495,121,Mendung,114
Februari,2496,264,Hujan,111
September,2497,181,Hujan,190
September,2498,309,Cerah,141
Januari,2499,228,Mendung,211
September,2500,124,Hujan,185
November,2501,283,Hujan,213
Agustus,2502,124,Hujan,149
Maret,2503,140,Mendung,113
Agustus,2504,242,Hujan,198
Oktober,2505,326,Cerah,169
Februari,2506,197,Cerah,84
April,2507,307,Cerah,109
Agustus,2508,185,Cerah,172
April,2509,154,Cerah,126
Agustus,2510,201,Mendung,109
Juli,2511,164,Cerah,161
Maret,2512,236,Mendung,198
Juni,2513,306,Mendung,171
Juni,2514,310,Hujan,155
Desember,2515,222,Hujan,144
April,2516,113,Hujan,92
Oktober,2517,224,Cerah,72
Agustus,2518,243,Mendung,180
Februari,2519,152,Mendung,150
April,2520,283,Cerah,160
Januari,2521,217,Cerah,86
Mei,2522,195,Mendung,93
Agustus,2523,156,Mendung,191
Desember,2524,128,Mendung,180
September,2525,158,Cerah,100
Mei,2526,288,Mendung,79
Januari,2527,140,Mendung,113
Januari,2528,184,Mendung,160
Oktober,2529,278,Cerah,191
Februari,2530,304,Cerah,174
Juli,2531,349,Hujan,122
Maret,2532,120,Hujan,92
Desember,2533,192,Mendung,88
Februari,2534,203,Mendung,208
Februari,2535,171,Hujan,178
Desember,2536,344,Mendung,208
Agustus,2537,124,Hujan,111
Mei,2538,249,Cerah,78
September,2539,177,Mendung,95
Juli,2540,261,Mendung,113
Juni,2541,333,Mendung,110
Februari,2542,340,Cerah,122
September,2543,318,Mendung,172
September,2544,181,Hujan,150
Mei,2545,319,Cerah,147
Februari,2546,339,Cerah,181
April,2547,162,Mendung,218
Februari,2548,348,Mendung,76
Mei,2549,293,Mendung,159
November,2550,183,Cerah,217
Desember,2551,280,Mendung,170
Januari,2552,243,Mendung,141
Maret,2553,345,Mendung,124
Desember,2554,169,Mendung,80
Januari,2555,151,Hujan,218
Juni,2556,174,Cerah,72
Mei,2557,101,Mendung,130
November,2558,194,Mendung,104
Januari,2559,213,Cerah,182
November,2560,164,Cerah,192
September,2561,240,Cerah,208
Agustus,2562,293,Mendung,214
Mei,2563,195,Hujan,135
Mei,2564,287,Hujan,104
Maret,2565,173,Cerah,116
September,2566,120,Mendung,151
Mei,2567,288,Cerah,125
Desember,2568,255,Mendung,128
Desember,2569,303,Mendung,176
Agustus,2570,192,Cerah,97
Mei,2571,194,Mendung,80
September,2572,269,Hujan,161
Februari,2573,307,Cerah,85
November,2574,110,Hujan,195
Juni,2575,306,Hujan,87
Juli,2576,116,Cerah,156
Juni,2577,162,Hujan,102
September,2578,214,Hujan,177
Februari,2579,253,Cerah,199
Maret,2580,266,Cerah,116
Juli,2581,286,Hujan,153
September,2582,135,Hujan,214
September,2583,225,Cerah,119
Februari,2584,326,Cerah,83
Desember,2585,315,Mendung,164
April,2586,261,Cerah,198
Desember,2587,121,Hujan,84
November,2588,179,Cerah,127
Agustus,2589,208,Cerah,210
Desember,2590,175,Cerah,85
Maret,2591,227,Mendung,204
November,2592,322,Cerah,132
Maret,2593,200,Mendung,217
Mei,2594,338,Mendung,98
Januari,2595,242,Cerah,144
September,2596,239,Hujan,96
Januari,2597,314,Cerah,150
November,2598,286,Mendung,200
September,2599,186,Mendung,170
Januari,2600,292,Hujan,159
November,2601,234,Mendung,80
Mei,2602,158,Mendung,83
Maret,2603,224,Cerah,107
Oktober,2604,164,Hujan,80
Agustus,2605,158,Cerah,97
Desember,2606,230,Cerah,149
Mei,2607,255,Mendung,189
Mei,2608,306,Cerah,212
Februari,2609,288,Mendung,165
April,2610,209,Hujan,122
November,2611,253,Hujan,159
Maret,2612,309,Mendung,156
Juli,2613,211,Cerah,107
Februari,2614,207,Cerah,165
Januari,2615,323,Hujan,124
Juli,2616,239,Mendung,103
Januari,2617,174,Mendung,173
Februari,2618,108,Hujan,117
September,2619,161,Hujan,124
September,2620,183,Mendung,95
Februari,2621,309,Cerah,217
November,2622,346,Hujan,155
Juli,2623,303,Hujan,192
Februari,2624,223,Hujan,163
September,2625,230,Mendung,207
Juni,2626,194,Mendung,86
Maret,2627,273,Hujan,169
Februari,2628,318,Mendung,98
Desember,2629,177,Cerah,115
Desember,2630,213,Cerah,135
Maret,2631,260,Mendung,163
April,2632,208,Mendung,177
Mei,2633,195,Cerah,141
Juni,2634,337,Hujan,169
Agustus,2635,235,Cerah,130
Mei,2636,162,Cerah,217
Oktober,2637,169,Mendung,82
November,2638,108,Mendung,99
April,2639,297,Cerah,85
April,2640,164,Mendung,76
Januari,2641,303,Hujan,202
Januari,2642,105,Hujan,83
Januari,2643,142,Hujan,147
Juni,2644,187,Mendung,144
Februari,2645,127,Hujan,74
Maret,2646,152,Hujan,155
Mei,2647,270,Mendung,146
Juni,2648,241,Hujan,194
Maret,2649,219,Cerah,210
Juni,2650,108,Cerah,185
Januari,2651,217,Cerah,82
April,2652,200,Hujan,106
Januari,2653,326,Hujan,169
Juni,2654,114,Hujan,195
Agustus,2655,283,Hujan,186
Mei,2656,264,Mendung,105
Oktober,2657,237,Cerah,148
Mei,2658,319,Cerah,101
Juli,2659,335,Hujan,137
Maret,2660,311,Hujan,76
Oktober,2661,228,Hujan,103
Januari,2662,290,Cerah,212
Mei,2663,167,Mendung,178
Desember,2664,206,Hujan,112
Juni,2665,299,Cerah,159
Juli,2666,254,Mendung,154
Juli,2667,341,Mendung,124
November,2668,266,Hujan,148
Juli,2669,274,Cerah,151
November,2670,192,Cerah,75
Desember,2671,289,Cerah,103
Juni,2672,316,Cerah,207
September,2673,244,Hujan,76
Januari,2674,332,Cerah,156
Januari,2675,165,Mendung,129
Juli,2676,342,Cerah,169
Agustus,2677,262,Mendung,82
Maret,2678,201,Mendung,182
Oktober,2679,290,Hujan,156
Februari,2680,292,Mendung,153
Agustus,2681,237,Hujan,90
Juni,2682,252,Cerah,110
Maret,2683,220,Mendung,153
Maret,2684,313,Mendung,179
Mei,2685,160,Cerah,112
Agustus,2686,130,Mendung,112
Juli,2687,177,Hujan,101
Agustus,2688,201,Mendung,214
Agustus,2689,117,Hujan,138
Februari,2690,265,Hujan,99
Januari,2691,192,Mendung,109
Desember,2692,283,Mendung,72
Februari,2693,211,Hujan,131
Januari,2694,260,Hujan,166
Desember,2695,119,Mendung,119
Mei,2696,311,Cerah,72
Oktober,2697,152,Hujan,152
Mei,2698,331,Cerah,126
Februari,2699,271,Mendung,210
September,2700,217,Hujan,204
Februari,2701,293,Hujan,174
Januari,2702,102,Hujan,209
Maret,2703,127,Mendung,198
Mei,2704,159,Mendung,118
Desember,2705,176,Hujan,153
Juni,2706,241,Hujan,82
November,2707,123,Cerah,98
April,2708,166,Cerah,121
Oktober,2709,150,Cerah,119
Desember,2710,273,Mendung,85
Maret,2711,225,Mendung,152
Mei,2712,271,Cerah,177
Oktober,2713,276,Hujan,187
Desember,2714,154,Mendung,132
Februari,2715,202,Mendung,79
April,2716,217,Cerah,131
Juni,2717,166,Cerah,169
Maret,2718,238,Hujan,138
Desember,2719,268,Cerah,162
September,2720,271,Cerah,77
Desember,2721,269,Mendung,153
Februari,2722,252,Hujan,216
Februari,2723,114,Cerah,84
September,2724,205,Mendung,111
Maret,2725,222,Hujan,151
Oktober,2726,304,Mendung,199
November,2727,197,Mendung,182
Februari,2728,269,Hujan,119
September,2729,326,Hujan,185
Juli,2730,147,Cerah,179
Mei,2731,275,Hujan,140
Maret,2732,307,Mendung,118
Februari,2733,121,Hujan,99
Maret,2734,331,Hujan,116
Juni,2735,114,Hujan,166
Juni,2736,157,Mendung,164
Januari,2737,171,Cerah,117
Juli,2738,202,Cerah,124
Agustus,2739,230,Hujan,101
Juli,2740,247,Hujan,120
Januari,2741,282,Hujan,135
Agustus,2742,280,Hujan,139
Mei,2743,130,Mendung,82
Agustus,2744,317,Cerah,184
April,2745,316,Hujan,168
Januari,2746,203,Mendung,161
November,2747,119,Hujan,106
April,2748,174,Hujan,141
Agustus,2749,336,Hujan,193
April,2750,189,Mendung,163
Februari,2751,275,Mendung,123
Oktober,2752,148,Cerah,156
Desember,2753,326,Cerah,130
Desember,2754,136,Mendung,169
Januari,2755,285,Cerah,123
April,2756,249,Cerah,162
Juni,2757,291,Hujan,113
April,2758,260,Mendung,126
Agustus,2759,230,Cerah,141
Juni,2760,141,Hujan,170
Agustus,2761,320,Mendung,219
Desember,2762,314,Mendung,168
Desember,2763,121,Hujan,193
Agustus,2764,148,Mendung,91
Juni,2765,150,Cerah,143
Maret,2766,174,Cerah,199
Mei,2767,272,Cerah,71
November,2768,238,Hujan,99
Februari,2769,111,Cerah,162
Desember,2770,228,Hujan,102
Juni,2771,149,Cerah,174
Juli,2772,131,Mendung,206
Januari,2773,308,Mendung,137
November,2774,229,Mendung,81
Juni,2775,230,Cerah,102
Desember,2776,128,Mendung,206
November,2777,263,Cerah,82
Januari,2778,308,Hujan,112
April,2779,300,Hujan,83
Januari,2780,294,Mendung,212
Maret,2781,169,Cerah,154
Agustus,2782,344,Hujan,186
Juni,2783,201,Cerah,155
Maret,2784,220,Cerah,95
September,2785,212,Mendung,165
Juli,2786,316,Cerah,71
Maret,2787,270,Cerah,79
Juni,2788,175,Hujan,158
Agustus,2789,177,Cerah,177
